GEOID,year,name,parent.location,population,poverty.rate,renter.occupied.households,pct.renter.occupied,median.gross.rent,median.household.income,median.property.value,rent.burden,pct.white,pct.af.am,pct.hispanic,pct.am.ind,pct.asian,pct.nh.pi,pct.multiple,pct.other,eviction.filings,evictions,eviction.rate,eviction.filing.rate,low.flag,imputed,subbed
17031010202,2008,102.02,"Cook County, Illinois",2591.43,21.09,811,66.17,830,35932,250800,34.9,23.65,43.47,24.65,0,4.43,0,2.07,1.73,28,15,1.85,3.45,0,0,0
17031010300,2006,103,"Cook County, Illinois",6571,14.6,2044,69.58,831,40505,234800,34.4,48,19.53,24.65,0,5.87,0,1.28,0.67,93,41,2.01,4.55,0,0,0
17031010300,2007,103,"Cook County, Illinois",6571,14.6,2003,69.58,831,40505,234800,34.4,48,19.53,24.65,0,5.87,0,1.28,0.67,79,36,1.8,3.94,0,0,0
17031010300,2008,103,"Cook County, Illinois",6571,14.6,1963,69.58,831,40505,234800,34.4,48,19.53,24.65,0,5.87,0,1.28,0.67,87,47,2.39,4.43,0,0,0
17031010400,2006,104,"Cook County, Illinois",4997,12.69,1707,65.4,792,40104,244500,35.2,55.37,16.41,18.45,0,6.04,0,2.32,1.4,37,13,0.76,2.17,0,0,0
17031010400,2007,104,"Cook County, Illinois",4997,12.69,1668,65.4,792,40104,244500,35.2,55.37,16.41,18.45,0,6.04,0,2.32,1.4,42,16,0.96,2.52,0,0,0
17031010400,2008,104,"Cook County, Illinois",4997,12.69,1628,65.4,792,40104,244500,35.2,55.37,16.41,18.45,0,6.04,0,2.32,1.4,46,21,1.29,2.83,0,0,0
17031010501,2006,105.01,"Cook County, Illinois",3849.03,23.45,1954,77.16,745,30008,247700,31.5,53.16,25.76,11.4,0,6.56,0,3.12,0,107,58,2.97,5.48,0,0,0
17031010501,2007,105.01,"Cook County, Illinois",3849.03,23.45,1920,77.16,745,30008,247700,31.5,53.16,25.76,11.4,0,6.56,0,3.12,0,70,21,1.09,3.65,0,0,0
17031010501,2008,105.01,"Cook County, Illinois",3849.03,23.45,1886,77.16,745,30008,247700,31.5,53.16,25.76,11.4,0,6.56,0,3.12,0,80,34,1.8,4.24,0,0,0
17031010502,2006,105.02,"Cook County, Illinois",3145.26,23.45,1424,77.16,745,30008,247700,31.5,53.16,25.76,11.4,0,6.56,0,3.12,0,76,31,2.18,5.34,0,0,0
17031010502,2007,105.02,"Cook County, Illinois",3145.26,23.45,1395,77.16,745,30008,247700,31.5,53.16,25.76,11.4,0,6.56,0,3.12,0,42,20,1.43,3.01,0,0,0
17031010502,2008,105.02,"Cook County, Illinois",3145.26,23.45,1366,77.16,745,30008,247700,31.5,53.16,25.76,11.4,0,6.56,0,3.12,0,43,24,1.76,3.15,0,0,0
17031010503,2006,105.03,"Cook County, Illinois",2054.71,23.45,1026,77.16,745,30008,247700,31.5,53.16,25.76,11.4,0,6.56,0,3.12,0,16,3,0.29,1.56,0,0,0
17031010503,2007,105.03,"Cook County, Illinois",2054.71,23.45,1020,77.16,745,30008,247700,31.5,53.16,25.76,11.4,0,6.56,0,3.12,0,13,8,0.78,1.27,0,0,0
17031010503,2008,105.03,"Cook County, Illinois",2054.71,23.45,1014,77.16,745,30008,247700,31.5,53.16,25.76,11.4,0,6.56,0,3.12,0,22,12,1.18,2.17,0,0,0
17031010600,2006,106,"Cook County, Illinois",7075,18.87,2113,60.06,860,57330,266900,25.1,40.73,22.63,27.31,0,6.3,0,2.84,0.18,113,41,1.94,5.35,0,0,0
17031010600,2007,106,"Cook County, Illinois",7075,18.87,2081,60.06,860,57330,266900,25.1,40.73,22.63,27.31,0,6.3,0,2.84,0.18,89,37,1.78,4.28,0,0,0
17031010600,2008,106,"Cook County, Illinois",7075,18.87,2049,60.06,860,57330,266900,25.1,40.73,22.63,27.31,0,6.3,0,2.84,0.18,69,36,1.76,3.37,0,0,0
17031010701,2006,107.01,"Cook County, Illinois",3719.35,20.13,926,64.14,811,49865,245200,31.4,31.61,18.12,44.5,0,4.33,0,1.13,0.31,34,13,1.4,3.67,0,0,0
17031010701,2007,107.01,"Cook County, Illinois",3719.35,20.13,901,64.14,811,49865,245200,31.4,31.61,18.12,44.5,0,4.33,0,1.13,0.31,25,7,0.78,2.77,0,0,0
17031010701,2008,107.01,"Cook County, Illinois",3719.35,20.13,877,64.14,811,49865,245200,31.4,31.61,18.12,44.5,0,4.33,0,1.13,0.31,29,9,1.03,3.31,0,0,0
17031010702,2006,107.02,"Cook County, Illinois",5850.65,20.13,1493,64.14,811,49865,245200,31.4,31.61,18.12,44.5,0,4.33,0,1.13,0.31,60,29,1.94,4.02,0,0,0
17031010702,2007,107.02,"Cook County, Illinois",5850.65,20.13,1453,64.14,811,49865,245200,31.4,31.61,18.12,44.5,0,4.33,0,1.13,0.31,43,15,1.03,2.96,0,0,0
17031010702,2008,107.02,"Cook County, Illinois",5850.65,20.13,1413,64.14,811,49865,245200,31.4,31.61,18.12,44.5,0,4.33,0,1.13,0.31,52,26,1.84,3.68,0,0,0
17031020100,2006,201,"Cook County, Illinois",3737.04,17.65,839,52.31,975.99,50809.77,235919.68,32.7,37.16,31.63,17.32,0,13.65,0,0.24,0,31,9,1.07,3.7,0,0,0
17031020100,2007,201,"Cook County, Illinois",3737.04,17.65,831,52.31,975.99,50809.77,235919.68,32.7,37.16,31.63,17.32,0,13.65,0,0.24,0,29,9,1.08,3.49,0,0,0
17031020100,2008,201,"Cook County, Illinois",3737.04,17.65,823,52.31,975.99,50809.77,235919.68,32.7,37.16,31.63,17.32,0,13.65,0,0.24,0,41,19,2.31,4.98,0,0,0
17031020200,2006,202,"Cook County, Illinois",6850,7.17,447,18.01,985,70986,342500,42.4,59.97,12.99,5.23,0,20.8,0,1.01,0,8,3,0.67,1.79,0,0,0
17031020200,2007,202,"Cook County, Illinois",6850,7.17,455,18.01,985,70986,342500,42.4,59.97,12.99,5.23,0,20.8,0,1.01,0,14,8,1.76,3.08,0,0,0
17031020200,2008,202,"Cook County, Illinois",6850,7.17,463,18.01,985,70986,342500,42.4,59.97,12.99,5.23,0,20.8,0,1.01,0,6,4,0.86,1.3,0,0,0
